OPDIV,CFDA Number,CFDA Program Title,Award Number,Award Title,Action Date,Recipient Name,City,State,Approp Code,Award Amount
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34529,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"LINCOLN COMMUNITY HEALTH CENTER, INC",DURHAM,NC,CV,"$3,516 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34529,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"LINCOLN COMMUNITY HEALTH CENTER, INC",DURHAM,NC,CV,"$110,639 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34535,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,ROBESON HEALTH CARE CORPORATION,FAIRMONT,NC,CV,"$65,708 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34540,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"GOSHEN MEDICAL CENTER, INC",FAISON,NC,CV,"$62,007 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34540,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"GOSHEN MEDICAL CENTER, INC",FAISON,NC,CV,"$38,731 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34540,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"GOSHEN MEDICAL CENTER, INC",FAISON,NC,CV,"$5,257 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34542,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Gaston Family Health Services,Inc.",GASTONIA,NC,CV,"$120,981 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34557,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,GATEWAY COMMUNITY HEALTH CENTERS,GATESVILLE,NC,CV,"$17,955 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34557,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,GATEWAY COMMUNITY HEALTH CENTERS,GATESVILLE,NC,CV,"$35,514 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34556,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Triad Adult and Pediatric Medicine, Inc",GREENSBORO,NC,CV,"$11,555 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34556,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Triad Adult and Pediatric Medicine, Inc",GREENSBORO,NC,CV,"$22,807 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34556,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Triad Adult and Pediatric Medicine, Inc",GREENSBORO,NC,CV,"$26,135 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34559,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"BLUE RIDGE COMMUNITY HEALTH SERVICE, INC",HENDERSONVILLE,NC,CV,"$92,463 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34559,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"BLUE RIDGE COMMUNITY HEALTH SERVICE, INC",HENDERSONVILLE,NC,CV,"$23,945 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34555,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"RURAL HEALTH GROUP, INC.",JACKSON,NC,CV,"$90,582 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34554,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"KINSTON COMMUNITY HEALTH CENTER, INC",KINSTON,NC,CV,"$15,347 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34554,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"KINSTON COMMUNITY HEALTH CENTER, INC",KINSTON,NC,CV,"$47,915 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34552,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,First Choice Community Health Centers,MAMERS,NC,CV,"$64,314 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34538,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,CRAVEN COUNTY GOVERNMENT,NEW BERN,NC,CV,"$57,573 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34549,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,CV,"$52,068 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34549,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,CV,"$44,641 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34534,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"OCRACOKE HEALTH CENTER, INC",OCRACOKE,NC,CV,"$39,917 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34534,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"OCRACOKE HEALTH CENTER, INC",OCRACOKE,NC,CV,"$13,699 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34532,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Advance Community Health, Inc.",RALEIGH,NC,CV,"$8,272 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34532,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Advance Community Health, Inc.",RALEIGH,NC,CV,"$65,385 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34546,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,CV,"$77,521 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34551,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Opportunities Industrialization Center, Inc",ROCKY MOUNT,NC,CV,"$6,605 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34551,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Opportunities Industrialization Center, Inc",ROCKY MOUNT,NC,CV,"$5,754 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34551,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Opportunities Industrialization Center, Inc",ROCKY MOUNT,NC,CV,"$47,580 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34564,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,PERSON FAMILY MEDICAL CENTER,ROXBORO,NC,CV,"$58,516 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34543,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"GREENE COUNTY HEALTH CARE, INC",SNOWHILL,NC,CV,"$126,947 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34543,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"GREENE COUNTY HEALTH CARE, INC",SNOWHILL,NC,CV,"$26,556 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34548,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,STEDMAN WADE HEALTH SERVICES INC,WADE,NC,CV,"$57,769 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34563,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,ANSON REGIONAL MEDICAL SERVICES,WADESBORO,NC,CV,"$53,059 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C35011,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"METROPOLITAN COMMUNITY HEALTH SERVICES, INC",WASHINGTON,NC,CV,"$57,418 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34558,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,WILKES COUNTY OF,WILKESBORO,NC,CV,"$54,853 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34537,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"NEW HANOVER COMMUNITY HEALTH CENTER, INC",WILMINGTON,NC,CV,"$53,093 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34537,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"NEW HANOVER COMMUNITY HEALTH CENTER, INC",WILMINGTON,NC,CV,"$10,294 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34541,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Carolina Family Health Centers, Inc.",WILSON,NC,CV,"$35,959 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34541,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"Carolina Family Health Centers, Inc.",WILSON,NC,CV,"$49,964 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34550,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,BERTIE COUNTY RURAL HEALTH ASSOCIATION,WINDSOR,NC,CV,"$52,895 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34553,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,UNITED HEALTH CENTERS,WINSTON-SALEM,NC,CV,"$60,724 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34553,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,UNITED HEALTH CENTERS,WINSTON-SALEM,NC,CV,"$2,941 "
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C34565,FY 2020 Coronavirus Supplemental Funding for Health Centers,3/20/2020,"CASWELL FAMILY MEDICAL CENTER, INC",YANCEYVILLE,NC,CV,"$53,315 "
CDC,93.354,Public Health Emergency Response:  Cooperative Agreement for Emergency Response: Public Health Crisis Response,NU90TP922104,North Carolina's Cooperative Agreement for Emergency Response: Public Health Crisis Response,3/16/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,CV,"$13,820,515 "
,,,,,,,,,,"Report Total: $879,088,968"
"Exported on 11/09/2020 from the HHS Tracking Accountability in Government Grants System (TAGGS), http://taggs.hhs.gov",,,,,,,,,,
